file,slug,jenis,nomor,tahun,url_sumber,sha256,tanggal_unduh,ingest_method,ln,tln,institusi,status_verifikasi
pdfs/uu-11-2008.pdf,ite,UU,11,2008,https://peraturan.bpk.go.id/Download/26683/UU%20Nomor%2011%20Tahun%202008.pdf,3c174f55b4a7982af268a24316e3353c8e712fc8a57e87a9fdf0502da4ea0af3,2026-09-22,MANUAL_UPLOAD,58,4843,"JDIH BPK (peraturan.bpk.go.id)",TERARSIP
pdfs/uu-19-2016.pdf,uu-19-2016,UU,19,2016,https://peraturan.bpk.go.id/Download/26676/UU%20Nomor%20%2019%20Tahun%202016.pdf,1ecbeed2f762355a13b31691d19b474cb02b4912b445762c4f354c9a4ba5a1d0,2026-09-22,MANUAL_UPLOAD,251,5952,"JDIH BPK (peraturan.bpk.go.id)",TERARSIP
pdfs/uu-1-2024.pdf,uu-1-2024,UU,1,2024,https://peraturan.bpk.go.id/Download/332870/UU%20Nomor%201%20Tahun%202024.pdf,8cdb6721dd5f46e45f13e8a3588c6c1efc614ea4361ce94efebe40e8e4289d5f,2026-09-22,MANUAL_UPLOAD,8,6916,"JDIH BPK (peraturan.bpk.go.id)",TERARSIP
pdfs/mk-50-puu-vi-2008.pdf,-,PUTUSAN_MK,-,-,,PENDING,,MANUAL_UPLOAD,-,-,"Mahkamah Konstitusi RI",PENDING
structured/uu-11-2008.json,ite,NASKAH,-,2008,diturunkan dari pdfs/uu-11-2008.pdf,-,2026-09-22,PARSER_AUTO,-,-,"parser pdfminer + aturan BAB/PASAL/AYAT",PARSED_AUTO_MENUNGGU_KURASI
structured/uu-19-2016.txt,uu-19-2016,NASKAH,-,2016,diturunkan dari pdfs/uu-19-2016.pdf,-,2026-09-22,PARSER_AUTO,-,-,"ekstraksi mentah",BUTUH_KURASI_LAYOUT_2_KOLOM
structured/uu-1-2024.txt,uu-1-2024,NASKAH,-,2024,diturunkan dari pdfs/uu-1-2024.pdf,-,2026-09-22,PARSER_AUTO,-,-,"ekstraksi mentah",BUTUH_KURASI_OCR
pdfs/uu-1-2023.pdf,uu-1-2023,UU,1,2023,https://peraturan.bpk.go.id/Details/234935,975fc86cfa63204ee21810cb7a99918c3a16b5fd47e58dadd9562c5ff3f1dfa0,2026-09-26,SCRAPER,,,JDIH BPK,TERARSIP
pdfs/uu-27-2022.pdf,uu-27-2022,UU,27,2022,https://peraturan.bpk.go.id/Details/229798,ed952dea04b87d14ecf037f9f324a65d50b396ddd34fc28ddf9ff014391971f6,2026-09-26,SCRAPER,,,JDIH BPK,TERARSIP
pdfs/uu-40-2007.pdf,uu-40-2007,UU,40,2007,https://peraturan.bpk.go.id/Details/39965,46b8cc0283bc99b5fe5bda856d3c3dfdefddce9661e9afe4d0106d3f96c6481b,2026-09-26,SCRAPER,,,JDIH BPK,TERARSIP
pdfs/uu-1-1974.pdf,uu-1-1974,UU,1,1974,https://peraturan.bpk.go.id/Details/47406,a92f3ce36bf243747193d0170d804442144aad603930ca74e4b230fbbdb1d9e4,2026-09-26,SCRAPER,,,JDIH BPK,TERARSIP
pdfs/uu-8-1999.pdf,uu-8-1999,UU,8,1999,https://peraturan.bpk.go.id/Details/45288,df253c489e78e66d9da5337c85bebe1384c68763af2001335b4880b0f225d816,2026-09-26,SCRAPER,,,JDIH BPK,TERARSIP
